---------------------
  #    meV     cm^-1
---------------------
  0   29.4i    237.0i
  1   17.6i    142.0i
  2   14.3     115.1
  3   21.5     173.4
  4   26.4     213.0
  5   34.4     277.2
  6   49.0     395.0
  7   50.4     406.4
  8   66.4     535.7
  9   67.1     541.5
 10   70.0     564.5
 11   75.9     611.8
 12   85.1     686.5
 13  186.9    1507.2
 14  432.1    3484.9
 15  435.1    3509.3
 16  445.6    3593.9
 17  469.5    3786.5
---------------------
Zero-point energy: 1.265 eV
