---------------------
  #    meV     cm^-1
---------------------
  0   21.3i    171.5i
  1    8.5      68.7
  2   10.0      80.8
  3   14.9     120.1
  4   15.9     128.6
  5   17.7     142.5
  6   20.8     167.9
  7   22.1     178.3
  8   33.5     270.6
  9   41.2     332.0
 10   48.5     391.3
 11   58.4     470.8
 12   68.2     550.3
 13   70.1     565.4
 14  114.6     924.5
 15  120.1     968.9
 16  142.8    1151.6
 17  162.0    1306.4
 18  180.1    1452.5
 19  194.3    1567.3
 20  197.9    1596.6
 21  387.5    3125.3
 22  404.3    3261.0
 23  416.4    3358.9
 24  434.9    3507.7
 25  459.1    3703.2
 26  476.7    3844.9
---------------------
Zero-point energy: 2.060 eV
