---------------------
  #    meV     cm^-1
---------------------
  0    0.4i      3.1i
  1    9.2      74.1
  2   13.1     105.7
  3   16.4     132.5
  4   19.4     156.5
  5   21.8     175.7
  6   24.3     196.1
  7   27.4     221.0
  8   45.9     370.4
  9   46.8     377.8
 10   49.0     394.9
 11   51.1     411.8
 12   51.1     412.5
 13   59.0     476.0
 14   60.2     485.6
 15   66.4     535.9
 16   86.0     693.8
 17  253.5    2044.6
---------------------
Zero-point energy: 0.450 eV
