---------------------
  #    meV     cm^-1
---------------------
  0   39.9i    321.4i
  1   14.4     116.0
  2   22.0     177.4
  3   38.7     312.3
  4   48.9     394.0
  5   53.8     434.3
  6   57.0     459.9
  7   86.7     699.0
  8  129.6    1045.1
  9  139.7    1126.7
 10  147.6    1190.2
 11  152.8    1232.1
 12  175.4    1415.0
 13  197.9    1595.9
 14  396.5    3198.1
 15  400.3    3228.8
 16  417.9    3370.4
 17  426.1    3436.7
---------------------
Zero-point energy: 1.453 eV
